Code, FullName, CodeName, 
948, Caffeine in ug/l in oppervlaktewater                                                                                      , 948%7CCaffeine+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
2208, Calcium in g/kg diameter < 63 um drooggewicht in bodem/sediment                                                           , 2208%7CCalcium+in+g%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                     , 
2375, Calcium in g/kg drooggewicht in bodem/sediment                                                                            , 2375%7CCalcium+in+g%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                        , 
1087, Calcium in g/kg drooggewicht in zwevende stof                                                                             , 1087%7CCalcium+in+g%2Fkg+drooggewicht+in+zwevende+stof                                                                                           , 
277, Calcium in mg/l in oppervlaktewater                                                                                       , 277%7CCalcium+in+mg%2Fl+in+oppervlaktewater                                                                                                      , 
278, Calcium in mg/l na filtratie in oppervlaktewater                                                                          , 278%7CCalcium+in+mg%2Fl+na+filtratie+in+oppervlaktewater                                                                                         , 
5135, Camfor in ug/l in oppervlaktewater                                                                                        , 5135%7CCamfor+in+ug%2Fl+in+oppervlaktewater                                                                                                      , 
950, Captan in ug/l in oppervlaktewater                                                                                        , 950%7CCaptan+in+ug%2Fl+in+oppervlaktewater                                                                                                       , 
4992, Carbendazim in ug/l in oppervlaktewater                                                                                   , 4992%7CCarbendazim+in+ug%2Fl+in+oppervlaktewater                                                                                                 , 
930, Carbofuran in ug/l in oppervlaktewater                                                                                    , 930%7CCarbofuran+in+ug%2Fl+in+oppervlaktewater                                                                                                   , 
6267, Cerium 144 in mBq/l in oppervlaktewater                                                                                   , 6267%7CCerium+144+in+mBq%2Fl+in+oppervlaktewater                                                                                                 , 
2210, Cerium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                           , 2210%7CCerium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                     , 
761, Cerium in mg/kg drooggewicht in bodem/sediment                                                                            , 761%7CCerium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                         , 
762, Cerium in mg/kg drooggewicht in zwevende stof                                                                             , 762%7CCerium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                            , 
8042, Cesium 134 in Bq/kg diameter < 63 um drooggewicht in bodem/sediment                                                       , 8042%7CCesium+134+in+Bq%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                 , 
628, Cesium 134 in Bq/kg drooggewicht in zwevende stof                                                                         , 628%7CCesium+134+in+Bq%2Fkg+drooggewicht+in+zwevende+stof                                                                                        , 
552, Cesium 134 in mBq/l in oppervlaktewater                                                                                   , 552%7CCesium+134+in+mBq%2Fl+in+oppervlaktewater                                                                                                  , 
8043, Cesium 137 in Bq/kg diameter < 63 um drooggewicht in bodem/sediment                                                       , 8043%7CCesium+137+in+Bq%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                 , 
630, Cesium 137 in Bq/kg drooggewicht in zwevende stof                                                                         , 630%7CCesium+137+in+Bq%2Fkg+drooggewicht+in+zwevende+stof                                                                                        , 
553, Cesium 137 in mBq/l in oppervlaktewater                                                                                   , 553%7CCesium+137+in+mBq%2Fl+in+oppervlaktewater                                                                                                  , 
5931, Cesium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                           , 5931%7CCesium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                     , 
8241, Cesium in mg/kg drooggewicht in bodem/sediment                                                                            , 8241%7CCesium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                        , 
5902, Cesium in mg/kg drooggewicht in zwevende stof                                                                             , 5902%7CCesium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                           , 
