CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
201901,27-2-2019,22-3-2019,Thierry Gattacceca; IGN,Add Wallis and Futuna data,,,NaN,"Added datum 1223 and CRSs 8898-8903. For CRSs 2988 and 4639, added remarks."
2019012,28-2-2019,22-3-2019,Roseanna Wright (MEDIN) on behalf of Joyce Chan (EGS (Asia) Ltd),Add Taiwan vertical data,,,NaN,"Added datum 1224 and CRS 8904. For areas 3315 and 3982, amended name and description. For area 3591, amended name."
2019014,6-3-2019,22-3-2019,Álvaro A. Álvarez Calderón; IGN,Add Costa Rica data,,,NaN,"Added areas 4531-32, datums 1225-26, CRSs 8905-12 and transformations 8913-14. For CRSs 5363-65 and 5367, added replacement remarks."
2019015,20-3-2019,17-9-2019,Brent Wood; NIWA,Add New Zealand offshore data,,,NaN,"Added projection 9190 and projected CRS 9191. For projection 17964 and CRS 3851, amended scope and added remarks. For projection 19843 and CRS 3994, added remarks."
2019072,24-9-2019,16-1-2020,Even Rouault; Spatialys,Review Netherlands transformation,,,NaN,"Deprecated transformation 7001. Added transformations 9281-83. For transformations 4830, 4831 and 7000, added supersession trail. For CRS 4289, added alias and in remarks updated cross-reference."
2019079,26-10-2019,11-11-2019,Andy Cheetham; Geomatic Solutions,Review geocentric Cartesian CS directions,,6500,NaN,"For coordinate system 6500, axis directions changed to be consistent with ISO 19111 with direction description moved to amended name field. Remarks revised."
2019084,9-11-2019,30-3-2020,John Czachurski for Hexagon,Add Oman ONGD17 data,,,NaN,"Added datum 1263, CRSs 9292-9297 and transformation 9298. For datum 1147 and CRSs 7371-7376, amended remarks."
2019092,4-12-2019,16-1-2020,Rachelle Winefield; LINZ,Amend New Zealand height transformations,,,NaN,"Added method 1084 and transformations 9312-26. For transformations 4459, 7840 and 7860-72, added supersession trail. For method 9665, amended name (removed 'US'), updated formula and added example."
2020028,14-3-2020,30-4-2020,Quentin Pernon; BGN,Add New Caledonia height data,,,NaN,"Added datum 1255, CRS 9351 and transformation 9352. For CRS 5753, amended name, added previous name as alias, added remarks. For datum 5151, minor correction to remarks."
2020053,17-6-2020,1-7-2020,Fredy Bolivar-Gomez; for IGAC,Amend Colombia CRS name,,,NaN,"For projection 9376, added alias. For CRS 9377, amended name and added previous name as an alias."
2020059,26-6-2020,1-7-2020,Daniel Kehlibarov; Pontech BG,Correct Bulgaria CRS,,,NaN,"Deprecated CRS 7804 and added replacement 9391. For CRS 7800, in remarks updated cross-referenced name and code. For CRS 7799, corrected alias."
2020062,2-7-2020,31-8-2020,Mark Greaves; OSGB,Add British Isles vertical ensemble,,,NaN,"Added conventionalRS 1026, datum ensemble 1288, CRSs 9451-52. For datums 1164, 5101, 5130-31, 5138, 5140, 5144 and 5147-48, added conventional RScode."
2020066,14-7-2020,24-7-2020,"Even Rouault, Spatialys",Correct non-ASCII characters,,,NaN,"For areas 1483, 1643, 4228, 4391 and 4515, in description corrected enDash character to hyphen-minus. For areas 1483, 1643, 3636, 3639, 3647-51, 3653-58, 3660-63, 3665, 3667-69, 3671-74, 3676. 4228, 4391 and 4515, in name and description corrected ordinal indicator character to degree sign."
2020068,22-7-2020,24-7-2020,Victor Martín Guijarro; IGN,Amend Spain data,,,NaN,"For areas 1166 1217 1296 1297 1298 1633 1703 2124 2336 2338 2420 3280 3429 and 4581, minor update to polygon in Melilla area. For datum 5180, in datum origin corrected date. For CRSs 4079-80, updated information source."
2020076,7-8-2020,31-8-2020,Nicholas Brown; GA,Add Australia data,,,NaN,"Added datums 1291-92, CRSs 9307-09, 9458, 9462-64 and 9473, and transformations 9459-61 and 9465-67. For datum 5111 and CRS 5711, amended scope and remarks. For transformations 5656 and 8451, amended operation accuracy, file name and remarks. For transformation 8049, amended operation accuracy. For methods 1048 and 9662, capitalised 2nd to 4th letters in AUSGeoid."
2020088,13-10-2020,17-11-2020,Martin Rayson; Geomatic Solutions,Review China extent record,,3466,NaN,"For extent 3466, amended name."
2020095,13-10-2020,17-11-2020,Even Rouault; Spatialys,Correct UK data,,1026,NaN,"For conventionalRS 1026, corrected remarks."
2020096,13-10-2020,21-10-2020,Even Rouault; Spatialys,Add datum ensemble alias,,,NaN,"For datums 6258 and 6326, added alias of name as used in previous data model."
2020101,19-10-2020,17-11-2020,Jelena Matic Varenica; RGZ,Add Serbia transformations,,,NaN,"Added transformations 9486, 9495 and 9496. For transformations 7675 and 7676 added supersession trail. For Extent 4543, in description corrected spelling of Vojvodina."
2020108,2-11-2020,13-1-2021,Thierry Gattacceca; IGN,Add France-Italy railway data,,9801,NaN,"Added scope 1271, extent 4613, method 1102, map projection 9548, datum 1295 and CRSs 9545-47 and 9549. For method 9801, added alias."
2020113,11-11-2020,14-12-2020,Bert Kampes; Shell,Add Sarawak Land and Survey Department CRS,,29873,NaN,"Added extent 4611, projection 19838 and CRS 29874. Updated remark of CRS 29873."
2020127,1-12-2020,13-1-2021,Arne Ofstad; Norwegian Hydrographic Service,Add Norway chart datum,,,NaN,"Added extent 4615, datum 1301 and CRS 9672. For extents 1107, 1182, 1296-98, 1633-40, 2124-31, 2332, 2881 and 4058-59, amended polygon and bounding box. For extents 1198 and 4075, amended polygon. For extent 2601, amended description (added Svalbard onshore), polygon and bounding box."
